fim,inicio,rodada_id
2018-04-16 20:00:00,2018-04-14 16:00:00,1
2018-04-23 20:00:00,2018-04-21 16:00:00,2
2018-07-16 20:00:00,2018-04-28 16:00:00,3
2018-05-07 20:00:00,2018-05-05 19:00:00,4
2018-05-13 21:00:00,2018-05-12 16:00:00,5
2018-05-21 20:00:00,2018-05-19 16:00:00,6
2018-05-27 19:00:00,2018-05-26 16:00:00,7
2018-05-31 21:00:00,2018-05-30 19:30:00,8
2018-06-04 20:00:00,2018-06-02 16:00:00,9
2018-06-07 21:00:00,2018-06-05 21:30:00,10
2018-06-10 19:00:00,2018-06-09 16:00:00,11
2018-06-13 21:45:00,2018-06-12 21:30:00,12
2018-07-18 00:00:00,2018-07-18 00:00:00,13
2018-07-22 00:00:00,2018-07-22 00:00:00,14
2018-07-25 00:00:00,2018-07-25 00:00:00,15
2018-07-29 00:00:00,2018-07-29 00:00:00,16
2018-08-05 00:00:00,2018-08-05 00:00:00,17
2018-08-12 00:00:00,2018-08-12 00:00:00,18
2018-08-19 00:00:00,2018-08-19 00:00:00,19
2018-08-22 00:00:00,2018-08-22 00:00:00,20
2018-08-26 00:00:00,2018-08-26 00:00:00,21
2018-09-02 00:00:00,2018-09-02 00:00:00,22
2018-09-05 00:00:00,2018-09-05 00:00:00,23
2018-09-09 00:00:00,2018-09-09 00:00:00,24
2018-09-16 00:00:00,2018-09-16 00:00:00,25
2018-09-23 00:00:00,2018-09-23 00:00:00,26
2018-09-30 00:00:00,2018-09-30 00:00:00,27
2018-10-06 00:00:00,2018-10-06 00:00:00,28
2018-10-14 00:00:00,2018-10-14 00:00:00,29
2018-10-21 00:00:00,2018-10-21 00:00:00,30
2018-10-27 00:00:00,2018-10-27 00:00:00,31
2018-11-04 00:00:00,2018-11-04 00:00:00,32
2018-11-11 00:00:00,2018-11-11 00:00:00,33
2018-11-14 00:00:00,2018-11-14 00:00:00,34
2018-11-18 00:00:00,2018-11-18 00:00:00,35
2018-11-21 00:00:00,2018-11-21 00:00:00,36
2018-11-25 00:00:00,2018-11-25 00:00:00,37
2018-12-02 00:00:00,2018-12-02 00:00:00,38
